,상품 제목,포스터 URL,상세 포스터 URL,공연장소,캐스팅 리스트,해당 링크,시작일,종료일,종료일_date
13,LiSA LiVE is Smile Always?ASiA TOUR 2024? in Seoul,https://image.toast.com/aaaaab/ticketlink/TKL_4/lisa_info0314.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_8/lisa_01_0627.jpg,고려대학교 화정체육관,LiSA,https://www.ticketlink.co.kr/product/49165,2024.07.20,2024.07.20,2024-07-20
14,윤딴딴 투어 콘서트 [딴딴한여름 2024] : 인천,https://image.toast.com/aaaaab/ticketlink/TKL_1/pst_06071141.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_3/web0611(1).jpg,부평아트센터 해누리극장,윤딴딴,https://www.ticketlink.co.kr/product/50457,2024.07.27,2024.07.27,2024-07-27
15,2024 블루밍 스테이지 [ 헤이즈 x 로꼬 ],https://image.toast.com/aaaaab/ticketlink/TKL_8/heize_loggo_main_0612.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_1/h_info06241054.jpg,경희대학교 평화의전당,헤이즈 x 로꼬,https://www.ticketlink.co.kr/product/50581,2024.07.27,2024.07.27,2024-07-27
16,JUMF 2024 전주얼티밋뮤직페스티벌 사전예매 티켓,https://image.toast.com/aaaaab/ticketlink/TKL_4/jump_pst_0605.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_3/JUMF_kr_info_0628.jpg,전주 종합경기장,,https://www.ticketlink.co.kr/product/50435,2024.08.09,2024.08.11,2024-08-11
17,PITTA 강형호 콘서트: New Normal Life - 수원,https://image.toast.com/aaaaab/ticketlink/TKL_4/pst_0521.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_9/web0521-1818.jpg,경기아트센터 대극장,강형호,https://www.ticketlink.co.kr/product/50205,2024.08.10,2024.08.11,2024-08-11
19,2024 이승철 신곡발매기념 콘서트 “Rock'n All” - 창원,https://image.toast.com/aaaaab/ticketlink/TKL_9/m0527.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_7/web0517(2).jpg,성산아트홀 대극장,이승철,https://www.ticketlink.co.kr/product/50120,2024.07.06,2024.07.06,2024-07-06
20,2024 이승철 신곡발매기념 콘서트 “Rock'n All” - 대구,https://image.toast.com/aaaaab/ticketlink/TKL_6/dg0517.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_3/web0517.jpg,영남대 천마아트센터 그랜드홀,이승철,https://www.ticketlink.co.kr/product/49828,2024.07.13,2024.07.13,2024-07-13
21,2024 이승철 신곡발매기념 콘서트 “Rock'n All” - 대전,https://image.toast.com/aaaaab/ticketlink/TKL_6/dj0517.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_9/web0517(1).jpg,충남대학교 정심화홀,이승철,https://www.ticketlink.co.kr/product/49826,2024.07.20,2024.07.20,2024-07-20
22,2024 이승철 신곡발매기념 콘서트 “Rock’n All” - 인천,https://image.toast.com/aaaaab/ticketlink/TKL_8/inc_main_0618.png,http://image.toast.com/aaaaab/ticketlink/TKL_5/ICN_INFO_0618.jpg,인스파이어 아레나,이승철,https://www.ticketlink.co.kr/product/50625,2024.07.27,2024.07.27,2024-07-27
23,메타코미디 Stand Up Assemble 24' Tour 서울공연,https://image.toast.com/aaaaab/ticketlink/TKL_4/mt_pst0514.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_6/mt_info0514.jpg,연세대학교 대강당,"10일 대니초, 김동하, 송하빈, 김영구, 박철현  11일 김동하, 이제규, 손동훈, 김주환, 박철현",https://www.ticketlink.co.kr/product/49962,2024.08.10,2024.08.11,2024-08-11
