,상품 제목,포스터 URL,상세 포스터 URL,공연장소,캐스팅 리스트,해당 링크,시작일,종료일,종료일_date
11,김아름 1st 단독 콘서트 썸머 시티,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240619101626d4000ece-6a8b-4c25-b30a-49881e6d25b1.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240619101707493e1c19-622c-4b42-98d6-694cd9f1050f.jpg/melon/quality/90/optimize,"현대카드 UNDERSTAGE, 언더스테이지",김아름,https://ticket.melon.com/performance/index.htm?prodId=210029,2024.08.03,2024.08.03,2024-08-03
12,위수 단독공연 〈LOVE ON AIR〉,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240624142301ba7889e9-833e-41b8-8f3f-d24fc317a707.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240626154942766de6ae-d6e0-418e-ac54-309c3aa2ae14.jpg/melon/quality/90/optimize,홍대 DSM 아트홀,위수 (WISUE),https://ticket.melon.com/performance/index.htm?prodId=210045,2024.07.13,2024.07.13,2024-07-13
13,2024 Whee In 1ST WORLD TOUR：WHEE IN THE MOOD［BEYOND］ENCORE,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/202406031453317f2a1fbe-629f-454a-a228-b968325ecc91.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/202406071034275372b2b9-bf40-42f3-a69b-be3fc49018da.jpg/melon/quality/90/optimize,올림픽공원?올림픽홀,휘인 (Whee In),https://ticket.melon.com/performance/index.htm?prodId=209970,2024.07.20,2024.07.21,2024-07-21
15,춘길＆모세 2024 소극장 공연 ‘발라드콘서트로트’,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/202406181443285476383f-2a12-446d-9ae3-dc00984e0001.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/202406181706353f61306d-c115-4360-a999-107d11afea69.jpg/melon/quality/90/optimize,구름아래소극장,"춘길, 모세",https://ticket.melon.com/performance/index.htm?prodId=210028,2024.07.14,2024.07.14,2024-07-14
16,PAIR PLAY：Vol．9 Bump2Soul x Soul delivery,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240605091303d66254bf-dde1-4fd8-8f04-db68178c856b.png/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/202406051433195aebbc21-f237-4c48-87c9-d366670be617.png/melon/quality/90/optimize,KT&G 상상마당 홍대 라이브홀,"Bump2Soul, Soul delivery",https://ticket.melon.com/performance/index.htm?prodId=209973,2024.07.07,2024.07.07,2024-07-07
17,이번 정류장은－EP．2 예빛,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240614113211a4da87cb-9e18-4c7c-99cd-1388b8ccd298.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240617090555fa9dbe7c-77ff-4514-b8c3-7a384fa5b361.jpg/melon/quality/90/optimize,KT&G 상상마당 홍대 라이브홀,예빛,https://ticket.melon.com/performance/index.htm?prodId=210012,2024.07.14,2024.07.14,2024-07-14
18,Soundberry Festa’ 24,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/2024061711045955837721-7eac-4582-9a54-c75b2d6c7af2.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/202406201132336b66e6a8-c8cb-446e-8e36-b5f758288267.jpg/melon/quality/90/optimize,KBS 아레나 일대,"I.M (아이엠), 다섯 (Dasutt), 마치 (MRCH), CNBLUE (씨엔블루), ""Ill (아일)"", 오월오일 ( 五月五日 ), 원위 (ONEWE), 장기하, 죠지, creespy, 키드밀리 (Kid Milli), Tabber, 한요한, FTISLAND (FT아일랜드), Hi-Fi Un!corn, 소수빈, 신지훈, 로이킴, 엔플라잉 (N.Flying), 정준일, 채무자들, 최유리, 카더가든, 폴킴, 후이, 92914",https://ticket.melon.com/performance/index.htm?prodId=210016,2024.07.20,2024.07.21,2024-07-21
19,실수 덜하는 루루의 빈혈 수치 정상 축 공연,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/202406181047324229e86d-471f-4b36-8a48-239f9c8c897a.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/2024061811001527e2e73d-937e-400b-9689-db2cb34457d0.jpg/melon/quality/90/optimize,벨로주 홍대,"Ruru (루루), IOHBOY (아이오보이)",https://ticket.melon.com/performance/index.htm?prodId=210023,2024.07.27,2024.07.27,2024-07-27
20,UVERworld＆CNBLUE SUMMER LIVE IN JAPAN and KOREA UNLIMITED CHALLENGE,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/05/202405081352285333d3c0-09a7-4ec2-ae59-a7ed1798c652.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/05/202405101141227d2f06c9-ef79-4d94-84c7-1aa94919f40f.jpg/melon/quality/90/optimize,고려대학교 화정체육관,"CNBLUE (씨엔블루), UVERworld",https://ticket.melon.com/performance/index.htm?prodId=209833,2024.07.27,2024.07.27,2024-07-27
22,2024（G）I－DLE WORLD TOUR［iDOL］IN SEOUL,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240617162012fbb51b9a-40ef-419e-b883-b0cef4e95a1d.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/05/202405301548354aea52cd-7faf-4d85-90cf-402f9b50b996.jpg/melon/quality/90/optimize,KSPO DOME (올림픽 체조경기장),(여자)아이들,https://ticket.melon.com/performance/index.htm?prodId=209948,2024.08.03,2024.08.04,2024-08-04
